,City,Country,lat,lon,Max Temp,Humidity,Cloudiness,Wind Speed,Date
39,Castro,BR,-24.7911,-50.0119,73.98,65,42,3.22,1644330347
40,Mataura,NZ,-46.1927,168.8643,49.48,99,30,2.68,1644330307
41,Srandakan,ID,-7.9386,110.2506,76.42,93,100,7.85,1644330347
42,Bredasdorp,ZA,-34.5322,20.0403,76.32,61,8,13.8,1644330348
43,Tuatapere,NZ,-46.1333,167.6833,49.82,96,30,3.83,1644330348
44,Guerrero Negro,MX,27.9769,-114.0611,57.42,53,5,2.06,1644330348
45,Nikolskoye,RU,59.7035,30.7861,33.71,96,100,3.09,1644330348
46,Ca Mau,VN,9.1769,105.15,78.78,77,18,9.75,1644330349
47,Kavieng,PG,-2.5744,150.7967,82.0,80,77,10.65,1644330349
48,Batemans Bay,AU,-35.7167,150.1833,62.2,94,25,4.32,1644330349
49,Imbituba,BR,-28.24,-48.6703,78.69,49,0,6.4,1644330085
50,The Valley,AI,18.217,-63.0578,82.26,57,20,14.97,1644330350
51,Vaini,TO,-21.2,-175.2,75.36,100,75,5.75,1644330350
52,Port Alfred,ZA,-33.5906,26.891,82.38,69,2,13.11,1644330350
53,Wanning,CN,18.8003,110.3967,68.59,92,99,8.68,1644330351
54,Cabo San Lucas,MX,22.8909,-109.9124,64.51,50,0,9.22,1644330088
55,Faya,SA,18.3851,42.4509,62.71,55,17,7.76,1644330351
56,Olafsvik,IS,64.8945,-23.7142,33.73,81,100,21.61,1644330352
57,Coyhaique,CL,-45.5752,-72.0662,61.41,41,20,5.75,1644330352
58,Hilo,US,19.7297,-155.09,67.24,87,0,5.75,1644330192
59,Saint Paul Harbor,US,57.79,-152.4072,33.31,75,100,26.46,1644330352
60,Barra de Tecoanapa,MX,16.5167,-98.75,72.99,74,1,4.94,1644330353
61,Viedma,AR,-40.8135,-62.9967,83.14,29,100,16.78,1644330353
62,Quatre Cocos,MU,-20.2078,57.7625,81.09,72,15,10.13,1644330353
63,Sampit,ID,-2.5333,112.95,75.65,95,100,2.04,1644330354
64,Avarua,CK,-21.2078,-159.775,77.05,88,100,10.36,1644330354
65,Mahébourg,MU,-20.4081,57.7,81.25,74,40,6.91,1644330355
66,Grindavik,IS,63.8424,-22.4338,36.07,75,75,12.66,1644330355
67,Talnakh,RU,69.4865,88.3972,-3.8,96,100,11.03,1644330355
68,Meïganga,CM,6.5167,14.3,91.51,12,23,7.0,1644330356
69,Hātod,IN,22.8,75.7333,70.12,52,0,0.0,1644330356
70,Hobart,AU,-42.8794,147.3294,60.66,76,100,4.61,1644330300
71,Patti,IN,31.2808,74.8572,62.55,61,49,5.44,1644330357
72,Kyaikkami,MM,16.08,97.5675,77.99,61,6,5.46,1644330357
73,Cidreira,BR,-30.1811,-50.2056,76.12,55,0,13.58,1644330358
74,Vanavara,RU,60.34,102.2797,-17.84,98,28,4.83,1644330358
75,Banda Aceh,ID,5.5577,95.3222,79.52,82,58,10.13,1644330358
76,Pisco,PE,-13.7,-76.2167,71.65,73,11,4.61,1644330359
77,Cayenne,GF,4.9333,-52.3333,84.09,77,75,6.91,1644330359
78,Coruripe,BR,-10.1256,-36.1756,85.69,56,92,8.84,1644330359
79,Antsirabe,MG,-19.85,47.0333,71.26,73,100,6.42,1644330360
80,Kaitangata,NZ,-46.2817,169.8464,52.16,95,30,3.69,1644330360
81,Yellowknife,CA,62.456,-114.3525,-17.72,85,20,4.61,1644330296
82,Jamestown,US,42.097,-79.2353,26.19,55,100,11.5,1644330097
83,Saint George,US,37.1041,-113.5841,48.34,44,0,0.0,1644330061
84,Coaticook,CA,45.1334,-71.7991,34.02,96,100,1.66,1644330361
85,Mbigou,GA,-1.9005,11.906,83.61,54,97,5.57,1644330361
86,Barrow,US,71.2906,-156.7887,-30.98,100,0,6.91,1644330301
87,Lompoc,US,34.6391,-120.4579,55.18,80,0,6.91,1644330229
88,Birjand,IR,32.8663,59.2211,45.07,29,0,6.91,1644330362
89,Portland,US,45.5234,-122.6762,41.79,95,100,3.44,1644330252
90,Hambantota,LK,6.1241,81.1185,79.14,78,40,16.11,1644330362
91,Airai,TL,-8.9266,125.4092,61.99,94,92,1.03,1644330363
92,Hervey Bay,AU,-25.2986,152.8535,68.11,69,0,12.84,1644330363
93,Makakilo City,US,21.3469,-158.0858,71.92,70,0,6.91,1644330363
94,San Cristobal,VE,7.7669,-72.225,71.78,53,92,3.53,1644330364
95,Laichow,CN,37.1717,119.9214,33.94,35,100,4.18,1644330364
96,Leningradskiy,RU,69.3833,178.4167,-26.77,84,18,4.16,1644330364
97,Bengkulu,ID,-3.8004,102.2655,78.26,82,100,6.11,1644330365
98,Lahaina,US,20.8783,-156.6825,72.81,81,0,7.92,1644330365
99,Nuuk,GL,64.1835,-51.7216,3.81,78,100,12.66,1644330365
100,Kirkwall,GB,58.9848,-2.9587,43.14,81,20,25.32,1644330366
101,Hermanus,ZA,-34.4187,19.2345,78.91,76,4,9.42,1644330366
102,Bluff,NZ,-46.6,168.3333,49.8,91,21,10.2,1644330367
103,San Patricio,US,28.017,-97.5169,50.94,54,0,4.9,1644330367
104,Tanout,NE,14.9709,8.8879,85.14,5,7,16.4,1644330367
105,Sukhodol,RU,53.9006,51.2117,7.39,99,98,3.89,1644330368
106,Alice Springs,AU,-23.7,133.8833,78.35,61,40,8.05,1644330183
107,Touros,BR,-5.1989,-35.4608,88.7,54,63,14.03,1644330368
108,Chokwé,MZ,-24.5333,32.9833,91.09,36,0,12.28,1644330368
109,Esperance,AU,-33.8667,121.9,62.44,63,6,4.41,1644330369
110,Ucluelet,CA,48.9329,-125.5528,42.1,93,100,3.22,1644330369
111,Progreso,MX,21.2833,-89.6667,70.11,86,85,15.64,1644330370
112,Pontianak,ID,-0.0333,109.3333,78.78,94,75,3.44,1644330370
113,Ilulissat,GL,69.2167,-51.1,-3.98,65,20,10.36,1644330371
114,Santana do Livramento,BR,-30.8908,-55.5328,75.61,35,0,6.46,1644330274
115,Ituango,CO,7.1712,-75.764,64.33,92,97,0.78,1644330371
116,Puerto Carreño,CO,6.189,-67.4859,85.98,66,20,3.44,1644330371
117,Saint-Cyr-sur-Loire,FR,47.4,0.6667,55.65,64,0,4.61,1644330372
118,Uglovskoye,RU,51.3557,80.1942,14.94,96,100,6.08,1644330076
119,Lebu,CL,-37.6167,-73.65,65.03,75,64,16.78,1644330372
120,Mandalgovi,MN,45.7625,106.2708,8.4,52,11,8.5,1644330372
121,Orlik,RU,52.5178,99.825,-6.79,91,100,3.58,1644330373
122,Lyngseidet,NO,69.5763,20.2189,32.09,83,100,17.98,1644330373
123,Solnechnyy,RU,50.7214,136.6319,-3.33,96,94,3.53,1644330374
124,Clyde River,CA,70.4692,-68.5914,-28.97,68,100,0.0,1644330374
125,Oistins,BB,13.0667,-59.5333,82.49,54,40,23.02,1644330374
126,Chokurdakh,RU,70.6333,147.9167,-44.3,100,95,5.06,1644330255
127,Ulaanbaatar,MN,47.9077,106.8832,-7.47,71,0,2.24,1644330164
128,Kattivākkam,IN,13.2167,80.3167,80.69,69,5,9.15,1644330375
129,Margate,GB,51.3813,1.3862,55.26,64,25,5.01,1644330375
130,Švenčionys,LT,55.15,26.1667,31.95,87,100,10.8,1644330376
131,Tequisquiapan,MX,20.5167,-99.8667,42.55,88,100,5.28,1644330263
132,Novy Urengoy,RU,66.0833,76.6333,-5.6,89,100,13.78,1644330376
133,Mar del Plata,AR,-38.0023,-57.5575,69.82,79,40,11.99,1644330377
134,Port Elizabeth,ZA,-33.918,25.5701,76.1,78,75,16.11,1644330377
135,Hope,US,33.6671,-93.5916,37.98,65,0,4.52,1644330377
136,Wajir,KE,1.7471,40.0573,100.36,18,0,6.91,1644330378
137,Holme,DK,56.1138,10.1725,47.64,69,32,14.52,1644330378
138,Cherskiy,RU,68.75,161.3,-39.53,100,85,3.58,1644330379
139,Souillac,MU,-20.5167,57.5167,81.36,74,40,6.91,1644330379
140,Hithadhoo,MV,-0.6,73.0833,82.98,68,100,16.6,1644330379
141,Liusha,CN,27.2098,108.59,28.04,96,100,0.56,1644330380
142,Thompson,CA,55.7435,-97.8558,17.76,93,75,3.44,1644330200
143,Saint-Philippe,RE,-21.3585,55.7679,81.99,84,67,8.75,1644330380
144,Kautokeino,NO,69.0125,23.0412,19.9,92,100,17.81,1644330381
145,Port Hedland,AU,-20.3167,118.5667,80.65,94,40,3.44,1644330381
146,Butaritari,KI,3.0707,172.7902,81.66,77,54,16.51,1644330299
147,Atambua,ID,-9.1061,124.8925,75.88,87,100,3.2,1644330381
148,Concepción,CL,-36.827,-73.0498,66.0,68,0,11.5,1644330313
149,Presidencia Roque Sáenz Peña,AR,-26.7852,-60.4388,86.13,19,4,2.33,1644330113
150,Peniche,PT,39.3558,-9.3811,70.88,49,0,7.81,1644330382
151,Lagoa,PT,39.05,-27.9833,59.27,71,100,8.32,1644330382
152,Ponta do Sol,PT,32.6667,-17.1,70.12,47,0,7.14,1644330382
153,Alofi,NU,-19.0595,-169.9187,73.29,100,100,4.61,1644330383
154,Hokitika,NZ,-42.7167,170.9667,66.76,80,100,1.12,1644330383
155,Xining,CN,36.6167,101.7667,12.74,90,47,2.01,1644330384
156,Los Llanos de Aridane,ES,28.6585,-17.9182,70.12,65,61,5.01,1644330384
157,São Filipe,CV,14.8961,-24.4956,73.76,69,0,6.89,1644330384
158,Ruteng,ID,-8.6136,120.4721,63.66,91,100,0.96,1644330385
159,Marawi,PH,7.9986,124.2928,67.64,95,98,0.81,1644330385
160,Bilma,NE,18.6853,12.9164,81.77,6,0,8.32,1644330386
161,Bermejo,AR,-32.8833,-68.8,78.71,47,0,3.44,1644330386
162,Chui,UY,-33.6971,-53.4616,71.62,55,86,9.1,1644330386
163,Kemijärvi,FI,66.7131,27.4306,15.19,99,96,3.53,1644330387
164,Lavrentiya,RU,65.5833,-171.0,-26.79,95,36,12.48,1644330387
165,Sobolevo,RU,54.4299,31.8996,29.3,88,100,8.95,1644330387
166,Adrar,MR,20.5022,-10.0711,82.65,7,9,14.43,1644330388
167,Port Moresby,PG,-9.4431,147.1797,78.22,94,40,3.44,1644330315
168,Tasiilaq,GL,65.6145,-37.6368,26.76,71,100,5.35,1644330388
169,Tual,ID,-5.6667,132.75,83.52,76,100,8.61,1644330388
170,Santa Cruz do Rio Pardo,BR,-22.8989,-49.6325,78.28,68,5,5.3,1644330389
171,Araouane,ML,18.9048,-3.5265,84.69,6,3,11.83,1644330389
172,Waipawa,NZ,-41.4122,175.5153,60.46,96,100,4.5,1644330389
173,Oleksandrivka,UA,46.8383,32.7612,37.62,95,100,18.54,1644330390
174,Bambous Virieux,MU,-20.3428,57.7575,81.21,74,40,6.91,1644330390
175,Kovernino,RU,57.1253,43.8142,30.72,97,100,7.99,1644330390
176,Maniitsoq,GL,65.4167,-52.9,-1.48,94,100,14.85,1644330391
177,Ostrovnoy,RU,68.0531,39.5131,17.28,88,100,13.29,1644330391
178,Gambēla,ET,8.25,34.5833,98.67,16,71,8.03,1644330391
179,Kavaratti,IN,10.5669,72.642,79.7,67,91,13.38,1644330392
180,Jumla,NP,29.2747,82.1838,34.56,96,88,2.82,1644330392
181,Kaohsiung City,TW,22.6163,120.3133,67.95,75,75,4.61,1644330392
182,Chiang Klang,TH,19.2938,100.8617,68.94,39,11,1.3,1644330393
183,Hobyo,SO,5.3505,48.5268,79.16,61,5,23.02,1644330393
184,Presidente Epitácio,BR,-21.7633,-52.1156,81.21,46,0,2.17,1644330332
185,Okhotsk,RU,59.3833,143.3,7.23,82,100,7.38,1644330394
186,Walvis Bay,NA,-22.9575,14.5053,75.09,76,19,9.55,1644330394
187,Mathathane,BW,-22.2687,28.7495,90.07,31,0,5.97,1644330394
188,Włoszczowa,PL,50.8526,19.9659,40.21,94,99,13.91,1644330395
189,Barranca,PE,-10.75,-77.7667,71.85,74,16,5.32,1644330395
190,São João da Barra,BR,-21.6403,-41.0511,86.09,76,96,5.12,1644330395
191,Palana,RU,59.1167,159.9667,0.23,92,79,6.35,1644330396
192,Tongliao,CN,43.6125,122.2653,11.07,88,5,7.83,1644330229
193,Mahon,ES,39.8885,4.2658,57.76,72,40,11.5,1644330396
194,Bethel,US,41.3712,-73.414,39.16,88,100,5.75,1644330397
195,Churapcha,RU,62.0025,132.4325,-26.21,100,100,1.77,1644330397
196,Port Hardy,CA,50.6996,-127.4199,44.76,93,100,14.97,1644330397
197,Vila Franca do Campo,PT,37.7167,-25.4333,63.01,73,100,8.81,1644330398
198,Chibombo,ZM,-14.6569,28.0706,74.79,79,26,4.05,1644330398
199,Praia da Vitória,PT,38.7333,-27.0667,63.75,77,75,7.05,1644330399
200,Sungai Penuh,ID,-2.0833,101.3833,65.73,93,100,0.96,1644330399
201,Pleasanton,US,37.6624,-121.8747,56.05,58,0,2.24,1644330399
202,Faanui,PF,-16.4833,-151.75,81.43,77,100,20.24,1644330400
203,Jāwā,JO,31.8525,35.9393,64.18,36,12,5.75,1644330400
204,Bourail,NC,-21.5667,165.4833,78.53,93,100,15.52,1644330400
205,New Norfolk,AU,-42.7826,147.0587,60.3,68,95,1.57,1644330401
206,Sinjār,IQ,36.3209,41.8754,50.88,64,82,8.14,1644330401
207,Chernyshevsk,RU,52.5243,117.0174,-12.48,100,98,4.21,1644330402
208,Kuytun,RU,54.3419,101.5036,-3.87,100,95,5.39,1644330402
209,Marystown,CA,47.1666,-55.1483,36.86,100,100,5.99,1644330402
210,Provideniya,RU,64.3833,-173.3,-16.29,85,1,11.32,1644330402
211,Fortuna,US,40.5982,-124.1573,38.32,100,75,6.91,1644330403
212,Zwedru,LR,6.0667,-8.1281,97.97,26,88,4.59,1644330403
213,Itarema,BR,-2.9248,-39.9167,83.32,66,99,10.13,1644330403
214,Paita,PE,-5.0892,-81.1144,77.56,71,100,6.02,1644330404
215,Atbasar,KZ,51.8,68.3333,11.03,95,95,8.43,1644330404
216,Constantine,DZ,36.365,6.6147,54.81,54,40,8.05,1644330404
217,Codrington,AU,-38.2667,141.9667,70.63,55,100,8.21,1644330405
218,Saskylakh,RU,71.9167,114.0833,-2.09,86,100,12.12,1644330405
219,Verkhniy Lomov,RU,53.4678,43.5511,32.04,94,100,13.94,1644330406
220,Kalianget,ID,-7.05,113.9333,76.98,92,100,9.31,1644330406
221,Baykit,RU,61.67,96.37,-19.23,98,10,3.85,1644330407
222,Flinders,AU,-34.5833,150.8552,64.8,83,6,5.35,1644330407
223,Tiksi,RU,71.6872,128.8694,-24.52,99,59,6.24,1644330407
224,Ariquemes,BR,-9.9133,-63.0408,75.7,94,100,1.01,1644330408
225,Wattegama,LK,6.7989,81.4808,77.92,71,100,5.37,1644330408
226,Auki,SB,-8.7676,160.7034,78.03,90,100,8.68,1644330408
227,Ahipara,NZ,-35.1667,173.1667,73.27,96,88,7.4,1644330409
228,Vao,NC,-22.6667,167.4833,80.29,86,95,23.62,1644330409
229,Sibiti,CG,-3.6819,13.3499,82.4,66,92,4.81,1644330409
230,Meulaboh,ID,4.1363,96.1285,77.88,83,77,2.21,1644330410
231,Puerto Nariño,CO,-3.7703,-70.3831,76.95,98,100,3.33,1644330410
232,Grand Gaube,MU,-20.0064,57.6608,81.37,68,10,5.01,1644330410
233,Beroroha,MG,-21.6667,45.1667,83.05,69,100,11.34,1644330411
234,Keetmanshoop,NA,-26.5833,18.1333,87.6,32,73,4.52,1644330411
235,Kulhudhuffushi,MV,6.6221,73.07,81.59,68,73,12.95,1644330411
236,Lüderitz,NA,-26.6481,15.1594,74.14,67,4,6.24,1644330412
237,Macusani,PE,-14.0833,-70.4333,40.03,87,97,3.15,1644330412
238,São Gabriel da Cachoeira,BR,-0.1303,-67.0892,76.8,94,100,2.3,1644330412
239,Carnarvon,AU,-24.8667,113.6333,77.07,73,0,17.27,1644330413
240,Tommot,RU,58.9564,126.2925,-12.41,100,100,0.87,1644330413
241,Ruthin,GB,53.1137,-3.3178,55.51,96,100,5.99,1644330413
242,Atar,MR,20.5169,-13.0499,89.1,6,33,10.76,1644330414
243,Barinas,VE,8.6226,-70.2075,73.09,100,83,4.61,1644330414
244,Ixtapa,MX,20.7,-105.2,66.22,94,0,2.3,1644330414
245,San Mateo Ixtatán,GT,15.8319,-91.4781,49.55,99,100,1.39,1644330415
246,Geraldton,AU,-28.7667,114.6,72.01,73,0,18.41,1644330415
247,Gimbi,ET,9.1667,35.8333,79.25,22,70,6.62,1644330415
248,Sidi Ali,DZ,36.0998,0.4206,61.27,46,0,10.0,1644330416
249,Acaraú,BR,-2.8856,-40.12,82.99,67,100,11.21,1644330416
250,Balkanabat,TM,39.5108,54.3671,47.64,47,5,8.19,1644330417
251,Port Victoria,KE,0.0939,33.9756,77.52,58,100,12.68,1644330417
252,Atherton,GB,53.5237,-2.4935,56.16,88,100,4.0,1644330417
253,Terrace,CA,54.5163,-128.6035,39.11,87,75,25.32,1644330121
254,Luchegorsk,RU,46.4764,134.2569,-7.85,100,75,3.27,1644330198
255,Gorontalo,ID,0.5412,123.0595,73.35,95,100,3.8,1644330418
256,Arraial do Cabo,BR,-22.9661,-42.0278,78.76,94,75,14.97,1644330418
257,Biak,ID,-0.9131,122.8766,75.72,83,100,3.02,1644330419
258,Herat Province,AF,34.5,62.0,45.52,54,5,6.69,1644330419
259,Tsabong,BW,-26.0217,22.401,90.82,25,99,4.88,1644330419
260,Daitari,IN,21.1,85.75,66.87,41,8,5.1,1644330420
261,Dzilam González,MX,21.2833,-88.9333,71.78,90,100,5.99,1644330420
262,Port Blair,IN,11.6667,92.75,80.64,74,40,11.5,1644330421
263,Bonthe,SL,7.5264,-12.505,88.02,55,85,13.69,1644330421
264,Alyangula,AU,-13.8483,136.4192,75.07,100,24,0.0,1644330421
265,Cabedelo,BR,-6.9811,-34.8339,86.67,57,58,9.66,1644330422
266,Parlākimidi,IN,18.7667,84.0833,70.75,80,22,3.56,1644330422
267,Filingué,NE,14.3521,3.3168,93.43,6,0,12.17,1644330422
268,Santo Antônio do Tauá,BR,-1.1519,-48.1294,84.15,73,68,3.51,1644330423
269,Karratha,AU,-20.7377,116.8463,84.51,73,69,4.76,1644330423
270,Tevriz,RU,57.509,72.4042,3.69,99,70,4.54,1644330424
271,Camacha,PT,33.0833,-16.3333,63.82,77,20,14.97,1644330424
272,Chernyshevskiy,RU,63.0128,112.4714,-16.28,96,100,4.72,1644330425
273,Gravdal,NO,68.1214,13.5031,37.08,80,40,6.91,1644330425
274,Naze,JP,28.3667,129.4833,57.2,80,81,14.9,1644330425
275,Arlit,NE,18.7369,7.3853,86.34,4,0,3.11,1644330426
276,Province of Trapani,IT,37.8333,12.6667,55.35,38,20,17.27,1644330426
277,Zlin,CZ,49.2267,17.6663,44.35,73,100,5.99,1644330426
278,Wajima,JP,37.4,136.9,36.1,66,23,10.49,1644330427
279,Maragogi,BR,-9.0122,-35.2225,85.95,55,15,10.2,1644330427
280,Piaçabuçu,BR,-10.4056,-36.4344,84.72,60,99,6.58,1644330427
281,Mandan,US,46.8267,-100.8896,38.03,69,0,23.02,1644330395
282,Shakawe,BW,-18.3667,21.85,83.14,45,99,3.89,1644330428
283,Luleå,SE,65.5842,22.1547,26.67,100,100,6.91,1644330336
284,Pangkalanbuun,ID,-2.6833,111.6167,75.04,96,99,1.72,1644330428
285,Tyukhtet,RU,56.5389,89.3011,-1.37,100,94,4.59,1644330429
286,Bad Aibling,DE,47.8638,12.0106,50.72,47,100,3.38,1644330429
287,Amalāpuram,IN,16.5833,82.0167,80.98,80,26,4.54,1644330429
288,Caborca,MX,30.5838,-111.101,45.55,31,0,7.38,1644330430
289,Shīeli,KZ,44.1667,66.75,31.96,79,78,6.04,1644330430
290,Aksarayskiy,RU,46.7924,48.0119,38.98,72,100,9.95,1644330431
291,Fairbanks,US,64.8378,-147.7164,-2.24,73,0,6.91,1644330431
292,Klaksvík,FO,62.2266,-6.589,34.72,72,97,38.01,1644330431
293,Bundaberg,AU,-24.85,152.35,68.29,85,0,6.91,1644330432
294,Vestmannaeyjar,IS,63.4427,-20.2734,32.99,93,40,27.63,1644330432
295,Porto Walter,BR,-8.2686,-72.7439,77.31,80,93,1.12,1644330433
296,La Ronge,CA,55.1001,-105.2842,21.45,79,75,19.57,1644330433
297,Tombouctou,ML,20.0,-3.0,84.13,6,0,11.81,1644330433
298,Berlevåg,NO,70.8578,29.0864,28.35,64,40,10.36,1644330434
299,Poum,NC,-20.2333,164.0167,81.59,87,100,26.6,1644330434
300,Isangel,VU,-19.55,169.2667,80.02,90,100,23.29,1644330435
301,Norman Wells,CA,65.282,-126.8329,-29.16,68,75,0.0,1644330435
302,Al Bardīyah,LY,31.7561,25.0865,63.68,54,0,22.3,1644330435
303,Mount Isa,AU,-20.7333,139.5,76.77,83,100,0.0,1644330436
304,Lata,PT,40.1629,-8.3327,68.92,43,0,6.44,1644330436
305,San Quintín,MX,30.4833,-115.95,56.25,37,30,0.89,1644330436
306,Bulgan,MN,48.8125,103.5347,1.31,88,71,3.15,1644330437
307,Zhezkazgan,KZ,47.8043,67.7144,19.38,86,75,15.66,1644330437
308,Vernon,CA,50.2581,-119.2691,35.96,66,100,1.7,1644330323
309,Galesong,ID,-5.3166,119.3661,78.82,82,93,3.27,1644330438
310,Amarillo,US,35.222,-101.8313,32.02,73,0,10.36,1644330294
311,Soubre,CI,5.7856,-6.6083,96.94,28,44,4.14,1644330438
312,Muros,ES,42.7762,-9.0603,70.68,55,0,4.79,1644330438
313,Fort Nelson,CA,58.8053,-122.7002,-0.81,78,100,0.0,1644330439
314,Tilichiki,RU,60.4667,166.1,-15.47,88,90,9.06,1644330439
315,Hofn,IS,64.2539,-15.2082,32.43,73,100,26.4,1644330440
316,Hatta,IN,24.1167,79.6,70.16,22,0,6.91,1644330440
317,Mahanoro,MG,-19.9,48.8,81.88,85,100,10.25,1644330440
318,Kāzerūn,IR,29.6195,51.6541,54.91,42,0,4.81,1644330441
319,Hong Kong,HK,22.2855,114.1577,61.32,84,100,1.01,1644330288
320,Marabu,MY,4.4148,114.0089,78.94,94,40,3.44,1644330441
321,Namatanai,PG,-3.6667,152.4333,80.74,82,100,5.73,1644330442
322,Żagań,PL,51.6176,15.3149,45.64,88,100,16.8,1644330442
323,Orotukan,RU,62.2667,151.7,-25.76,78,13,4.09,1644330442
324,Iqaluit,CA,63.7506,-68.5145,-2.31,70,100,15.01,1644330443
325,Brae,GB,60.3964,-1.353,42.71,70,98,31.32,1644330443
326,Izhevskoye,RU,54.5567,40.8703,32.41,99,100,6.67,1644330443
327,Bathsheba,BB,13.2167,-59.5167,83.01,54,40,23.02,1644330443
328,Mackay,AU,-21.15,149.2,71.69,88,40,5.75,1644330444
329,Husavik,IS,66.0449,-17.3389,31.91,94,100,24.94,1644330444
330,Porto-Novo,BJ,6.4965,2.6036,89.42,53,46,14.54,1644330445
331,Mahibadhoo,MV,3.7833,72.9667,82.38,68,37,16.67,1644330445
332,Mount Gambier,AU,-37.8333,140.7667,67.91,68,100,3.44,1644330445
333,Jhālrapātan,IN,24.55,76.1667,69.76,34,0,4.25,1644330446
334,Alpena,US,45.0617,-83.4327,23.11,86,100,1.99,1644330446
335,Vallenar,CL,-28.5708,-70.7581,75.42,45,0,4.72,1644330446
336,Santiago,CL,-33.4569,-70.6483,86.29,42,0,2.3,1644330447
337,Kyren,RU,51.6828,102.1408,7.18,98,100,1.43,1644330447
338,Poso,ID,-1.3959,120.7524,77.36,89,100,1.72,1644330448
339,Ankara,TR,39.9199,32.8543,49.39,64,75,9.22,1644330304
340,Half Moon Bay,US,37.4636,-122.4286,55.78,81,0,0.0,1644330300
341,La Macarena,CO,2.1837,-73.7849,73.89,95,100,2.55,1644330448
342,Vertientes,CU,21.2594,-78.1464,77.61,66,0,7.85,1644330448
343,Sharlyk,RU,52.9167,54.75,18.1,96,100,5.12,1644330449
344,Antibes,FR,43.5624,7.1278,64.76,44,0,13.8,1644330449
345,Malanje,AO,-9.5402,16.341,80.26,47,48,7.61,1644330449
346,Torbay,CA,47.6666,-52.7314,32.29,82,75,14.97,1644330450
347,Parfino,RU,57.9731,31.6481,29.34,89,99,6.87,1644330450
348,Aktash,RU,50.3,87.7333,-13.18,84,16,3.04,1644330450
349,Oyama,JP,36.3,139.8,46.58,63,93,5.3,1644330451
350,Arroyo de la Encomienda,ES,41.6096,-4.7969,63.19,45,0,3.44,1644330451
351,Clarence Town,AU,-32.5833,151.7833,65.55,94,0,3.2,1644330451
352,Riyadh,SA,24.6877,46.7219,69.94,20,0,7.52,1644330425
353,Gohpur,IN,26.8833,93.6333,58.42,72,43,0.47,1644330452
354,Hammerfest,NO,70.6634,23.6821,29.93,69,40,23.02,1644330452
