,City,Country, lat,Max Temp,Humidity,Cloudiness,Wind Speed,Date
75,Norman Wells,CA,65.282,-18.36,69,75,5.75,1644142956
76,Don Luan,VN,11.5333,84.88,48,98,2.82,1644143017
77,Dakar,SN,14.6937,73.53,78,0,6.91,1644142802
78,Castro,BR,-24.7911,62.94,99,88,4.14,1644143137
79,Airai,TL,-8.9266,64.67,93,90,1.52,1644143198
80,Bowen,AU,-20.0167,73.62,67,25,17.85,1644143258
81,Grand Forks,US,47.9417,3.13,81,100,12.66,1644143319
82,Pangoa,PE,-12.1167,68.23,100,100,0.58,1644143379
83,Dikson,RU,73.5069,-24.05,100,98,5.86,1644143439
84,Yeppoon,AU,-23.1333,74.98,63,11,23.78,1644143500
85,Ancud,CL,-41.8697,60.22,89,25,3,1644143560
86,Mae Sai,TH,20.4335,76.32,95,80,0.87,1644143681
87,Ponta do Sol,PT,32.6667,68.13,53,48,13.44,1644143741
88,Fortuna,US,40.5982,41.92,93,0,12.66,1644143802
89,Mariakani,KE,-3.8633,94.53,36,100,5.55,1644143862
90,Berlevåg,NO,70.8578,24.26,83,57,23.35,1644143922
91,Omaruru,NA,-21.4333,81.88,45,99,5.06,1644143983
92,Ciudad Bolivar,VE,8.1222,73.26,88,31,7.47,1644144043
93,Tasiilaq,GL,65.6145,17.76,60,100,7.99,1644144104
94,Hermanus,ZA,-34.4187,88.9,54,95,8.72,1644144164
95,Colares,PT,38.7992,60.33,45,0,1.01,1644144225
96,Tuktoyaktuk,CA,69.4541,-17.68,98,100,9.42,1644144285
97,Margate,GB,51.3813,51.96,76,100,11.99,1644144406
98,Butaritari,KI,3.0707,82.65,75,71,15.68,1644144466
99,Krasnosel'kup,RU,65.7,-16.46,100,72,5.77,1644144526
100,Souillac,MU,-20.5167,86.38,70,75,17.27,1644144587
101,Pahrump,US,36.2083,49.1,26,0,4.97,1644144707
102,Katobu,ID,-4.9408,78.15,85,36,4.56,1644144768
103,Ust-Nera,RU,64.5667,-21.37,71,7,2.84,1644144828
104,Hervey Bay,AU,-25.2986,73.51,71,73,21.39,1644144949
105,Richards Bay,ZA,-28.783,78.1,78,21,11.48,1644144796
106,Atambua,ID,-9.1061,76.8,83,46,0.85,1644145069
107,Portland,US,45.5234,42.91,94,40,1.99,1644144264
108,Nanortalik,GL,60.1432,13.08,53,100,13.29,1644145250
109,Isangel,VU,-19.55,79.68,90,98,13.78,1644145310
110,Poum,NC,-20.2333,79.03,85,100,3.58,1644145370
111,Bathsheba,BB,13.2167,77.61,78,40,11.5,1644145431
112,San Patricio,US,28.017,46.26,82,3,5.19,1644145551
113,Avarua,CK,-21.2078,73.45,94,75,6.91,1644145612
114,Meïganga,CM,6.5167,88.5,14,6,7.74,1644145672
115,Inverell,AU,-29.7833,64.67,73,11,5.99,1644145733
116,Torrington,US,41.8007,12.15,79,4,4,1644145793
117,Hasaki,JP,35.7333,36,39,70,15.46,1644145854
118,Damietta,EG,31.4165,62.65,55,82,8.3,1644145914
119,Atherton,GB,53.5237,47.52,81,97,17,1644145974
120,Comarapa,BO,-17.9,54.05,98,100,1.95,1644146035
121,Bitung,ID,1.4451,77.85,85,95,10.89,1644146095
122,eMkhomazi,ZA,-30.2067,79.68,78,97,10.22,1644146155
123,Wuwei,CN,37.9281,17.78,94,100,8.46,1644146336
124,Iringa,TZ,-7.7667,69.87,71,96,9.04,1644146397
125,Kautokeino,NO,69.0125,22.24,90,100,18.45,1644146457
126,Bluff,NZ,-46.6,46.8,70,0,9.1,1644146517
127,Saint-Augustin,CA,51.226,-4.92,72,96,18.37,1644146578
128,Leningradskiy,RU,69.3833,-22.86,97,19,4.34,1644146638
129,Kashgar,CN,39.4547,29.41,64,20,2.24,1644146699
130,Cape Town,ZA,-33.9258,89.11,49,0,18.41,1644146598
131,Talnakh,RU,69.4865,-23.67,100,60,1.19,1644146819
132,Galle,LK,6.0367,82.49,71,65,6.51,1644146880
133,Vestmanna,FO,62.1564,32.92,93,100,19.57,1644146940
134,Walvis Bay,NA,-22.9575,74.08,72,88,8.46,1644147000
135,Necochea,AR,-38.5473,62.04,78,100,14.61,1644146922
136,Marawi,PH,7.9986,71.65,96,84,2.21,1644147121
137,Burnie,AU,-41.0667,57.94,83,5,8.7,1644147137
138,Pacific Grove,US,36.6177,54.57,70,0,1.01,1644147047
139,Izhmorskiy,RU,56.194,11.03,93,99,4.36,1644147302
140,Harper,LR,4.375,84.42,67,60,5.48,1644147362
141,Bétérou,BJ,9.1992,95.56,10,0,4.97,1644147423
142,Mumford,GH,5.2618,84.29,66,95,9.15,1644147484
143,Ahipara,NZ,-35.1667,72.05,98,100,7.29,1644147544
144,Kapaa,US,22.0752,71.92,85,100,10.36,1644147604
145,Kandalaksha,RU,67.162,16.68,95,100,7.83,1644147665
146,Jamestown,US,42.097,15.71,54,1,12.66,1644147469
147,Verāval,IN,20.9,73.38,55,5,11.01,1644147785
148,Mossendjo,CG,-2.9506,83.1,65,68,2.82,1644147846
149,Torbay,CA,47.6666,19.58,88,100,26.46,1644147906
150,Ketchikan,US,55.3422,45.07,93,100,23.02,1644147967
151,Hailar,CN,49.2,-11.13,97,91,5.88,1644148027
152,Ayan,RU,56.45,-8.1,79,14,11.1,1644148088
153,Ilebo,CD,-4.3167,87.96,51,91,3.06,1644148148
154,Severo-Kuril'sk,RU,50.6789,31.68,86,100,19.15,1644148209
155,Ossora,RU,59.2353,9.79,73,100,11.32,1644148269
156,Pangody,RU,65.85,-20.06,100,79,1.97,1644148329
157,Pandan,PH,14.0453,77.41,85,25,17.02,1644148390
158,Boulder City,US,35.9786,48.74,20,0,10.36,1644148450
159,Chokurdakh,RU,70.6333,-37.53,100,100,1.97,1644148510
160,Constantine,DZ,36.365,56.61,47,0,2.3,1644148571
161,Cabo San Lucas,MX,22.8909,64.51,80,43,5.93,1644148631
162,Gimli,CA,50.6336,-5.78,84,95,9.22,1644148691
163,Shelopugino,RU,51.6514,-12.28,100,9,3.18,1644148752
164,Pontal do Paraná,BR,-25.6533,85.73,75,57,1.19,1644148813
165,Tsévié,TG,6.4261,94.69,32,3,7.56,1644148875
166,Casper,US,42.8666,26.51,86,76,1.99,1644148790
167,Casma,CL,-41.0082,54.25,86,77,4.52,1644148995
168,Borba,BR,-4.3878,77.22,85,100,1.34,1644149055
169,Huarmey,PE,-10.0681,69.66,85,99,3.6,1644149116
170,Valle de Bravo,MX,19.1833,46.8,58,0,5.12,1644149176
171,Bengkulu,ID,-3.8004,79.43,76,100,8.1,1644149236
172,Phan Thiet,VN,10.9333,79.09,71,64,14.45,1644149297
173,Nabire,ID,-3.3667,79.11,83,100,0.87,1644149357
174,Grand Gaube,MU,-20.0064,84.6,77,95,8.99,1644149417
175,Pisco,PE,-13.7,64.45,88,88,3.44,1644149478
176,Faanui,PF,-16.4833,81.14,74,86,20.78,1644149538
177,San Francisco,US,37.7749,53.92,83,20,1.01,1644148944
178,Egvekinot,RU,66.3167,-13.16,87,10,8.23,1644149659
179,Road Town,VG,18.4167,73,77,81,19.89,1644149719
180,Ténenkou,ML,14.4572,86.99,7,0,10.78,1644149780
181,Kamenka,RU,51.3223,20.52,94,100,8.3,1644149840
182,Beloha,MG,-25.1667,75.69,90,100,26.37,1644149900
183,Samarai,PG,-10.6167,82.9,76,86,16.55,1644149961
184,Tuy Hoa,VN,13.0833,73.38,91,98,7.47,1644150021
185,Aklavik,CA,68.2191,-17.57,95,100,14.34,1644150082
186,Tiksi,RU,71.6872,-18.54,99,100,4.05,1644150142
187,Whitianga,NZ,-36.8333,67.01,98,100,11.25,1644150202
188,Yairipok,IN,24.6667,51.64,59,2,3.42,1644150263
189,Nur-Sultan,KZ,51.1801,17.55,62,0,13.42,1644150323
190,Kloulklubed,PW,7.0419,82.9,76,46,21.43,1644150384
191,Usinsk,RU,65.9939,-4.02,92,84,6.55,1644150444
192,Ellenabad,IN,29.45,68.18,34,1,4.29,1644150504
193,Anamur,TR,36.0751,62.62,62,77,4.79,1644150565
194,São João da Barra,BR,-21.6403,84.29,77,0,13.04,1644150625
195,Pringsewu,ID,-5.3582,74.73,92,96,1.79,1644150686
196,Provideniya,RU,64.3833,-3.06,73,0,11.03,1644150708
197,Itoman,JP,26.1247,59.02,61,75,11.5,1644150806
198,Dunedin,NZ,-45.8742,49.8,73,48,4.36,1644150927
199,East London,ZA,-33.0153,79.74,73,20,20.71,1644150796
200,Kirensk,RU,57.7853,13.41,96,100,5.32,1644151107
201,Tacuarembó,UY,-31.7333,65.84,63,100,12.75,1644151167
202,Arman',RU,59.7,-2.99,73,64,10.51,1644151288
203,Santa Cruz de la Sierra,BO,-17.8,73.45,88,75,9.22,1644151348
204,Maragogi,BR,-9.0122,84.25,62,97,9.55,1644151469
205,Verkhnyaya Inta,RU,65.9811,2.28,84,67,7.81,1644151529
206,Hofn,IS,64.2539,31.28,59,0,13.71,1644151590
207,Saint-Philippe,RE,-21.3585,83.79,75,100,17.69,1644151650
208,Fare,PF,-16.7,81.32,74,100,22.01,1644151710
209,Kouvola,FI,60.8667,32.32,99,100,17.27,1644151771
210,Sète,FR,43.4018,57.06,52,77,23.26,1644151831
211,Bariloche,AR,-41.1456,58.75,55,0,3.44,1644151808
212,Vao,NC,-22.6667,79.66,88,62,5.64,1644151952
213,Henties Bay,NA,-22.116,72.86,74,76,9.69,1644152012
214,Quelimane,MZ,-17.8786,85.95,74,75,12.66,1644152073
215,Xapuri,BR,-10.6517,77.65,88,100,2.64,1644152133
216,Tura,IN,25.5198,53.8,81,40,2.28,1644152193
217,Vila Velha,BR,-20.3297,85.95,72,40,11.01,1644152254
218,Brønnøysund,NO,65.4625,35.71,69,75,12.66,1644152314
219,Dinghaicun,CN,26.2847,47.32,76,100,20.04,1644152375
220,Lavrentiya,RU,65.5833,-13.63,87,4,8.03,1644152436
221,Znamenskoye,RU,57.1281,6.53,96,100,4.38,1644152497
222,Ust-Maya,RU,60.4167,-29.92,100,99,2.21,1644152557
223,Kharp,RU,66.8014,-12.59,100,96,1.77,1644152617
224,Black River,JM,18.0264,75.97,71,1,3.42,1644152678
225,Machico,PT,32.7,70.12,84,40,23.02,1644152738
226,Warri,NG,5.5167,101.1,17,9,3.74,1644152799
227,Shache,CN,38.4167,30.06,48,100,5.3,1644152859
228,Warrington,GB,53.3925,48.9,78,75,21,1644152920
229,Natal,BR,-5.795,86.65,58,75,10.36,1644152820
230,Nsanje,MW,-16.92,87.12,56,92,5.21,1644153040
231,Hithadhoo,MV,-0.6,82.92,70,31,11.03,1644153100
232,Yerbogachën,RU,61.2767,-3.05,100,92,3.11,1644153161
233,Rocha,UY,-34.4833,64.04,78,100,13.11,1644153281
234,Tambura,SS,5.6,92.7,11,17,8.23,1644153342
235,Ilulissat,GL,69.2167,1.42,39,100,3.44,1644153402
236,Brebu,RO,45.4203,48.49,46,100,3.36,1644153463
237,Manhuaçu,BR,-20.2581,72.77,91,100,4.99,1644153523
238,Dwārka,IN,22.2394,71.42,56,8,8.99,1644153583
239,Ponta Delgada,PT,37.7333,63.32,82,20,18.41,1644153644
240,Chicama,PE,-7.8447,64.94,83,100,3.4,1644153704
241,Rome,US,43.2128,9.12,76,0,5.75,1644153764
242,Barcelona,ES,41.3888,60.8,50,20,1.01,1644153825
243,Waddān,LY,29.1614,72.68,12,98,1.41,1644153885
244,Chapais,CA,49.7834,-13.22,95,100,8.46,1644153946
245,Lázaro Cárdenas,MX,17.9583,69.57,71,4,4.41,1644154006
246,Ayagoz,KZ,47.9714,8.51,77,0,9.69,1644154066
247,Behshahr,IR,36.6923,44.55,89,97,6.4,1644154127
248,Nyurba,RU,63.2842,-3.39,99,100,4.65,1644154187
249,San Isidro,PE,-12.1167,69.51,57,20,1.01,1644154308
250,Patitiri,GR,39.15,56.68,63,9,3.51,1644154368
251,Saint Anthony,US,45.0205,22.6,87,100,5.75,1644154429
252,Sokoni,TZ,-6.4333,88.09,74,100,7.56,1644154489
253,Hong Kong,HK,22.2855,63.25,79,100,1.01,1644154350
254,Kawhia,NZ,-38.0651,62.38,92,100,13.49,1644154610
255,Wahiawā,US,21.5028,70.12,82,92,7.63,1644154670
256,Saint George,US,37.1041,42.35,43,0,4.61,1644154730
257,Ribeira Grande,PT,38.5167,64.8,72,40,9.22,1644154791
258,Batagay,RU,67.6333,-39.64,98,100,1.79,1644154851
259,Salalah,OM,17.0151,78.89,73,20,9.22,1644154912
260,Dingle,PH,10.9995,76.1,85,37,10.8,1644154972
261,Semporna,MY,4.4818,77.2,86,100,5.48,1644155033
262,Lamu,KE,-2.2717,88.02,76,78,16.37,1644154984
263,La Providencia,MX,28.7167,47.86,67,0,4.23,1644155153
264,Pakdasht,IR,35.4752,48.2,31,74,12.59,1644155213
265,Mizdah,LY,31.4451,68.43,13,96,4.85,1644155274
266,Prince Rupert,CA,54.3161,44.69,76,100,21.85,1644155334
267,Cuamba,MZ,-14.8031,79.81,68,73,4.45,1644155395
268,Buncrana,IE,55.1333,44.42,66,97,28.95,1644155515
269,Mandan,US,46.8267,22.03,80,40,5.99,1644155576
270,Neuquén,AR,-38.9516,69.69,46,0,3.44,1644155574
271,Sambava,MG,-14.2667,84.78,71,10,2.89,1644155696
272,Chul'man,RU,56.8479,-31.41,100,97,1.59,1644155756
273,São Filipe,CV,14.8961,74.57,68,0,7.45,1644155817
274,Pāsighāt,IN,28.0667,55.87,85,71,3.51,1644155877
275,Uni,RU,57.7535,22.14,97,99,6.91,1644155938
276,Ban Nahin,LA,18.2418,67.95,79,32,3.2,1644155998
277,Nobres,BR,-14.7203,82.92,79,100,3.47,1644156058
278,Zvishavane,ZW,-20.3267,78.08,43,60,10.6,1644156119
279,Port Elizabeth,ZA,-33.918,95.09,69,30,24.4,1644156179
280,Urambo,TZ,-5.0667,75.58,74,88,4.68,1644156240
281,Termez,UZ,37.2242,44.69,70,40,16.11,1644156300
282,Cap Malheureux,MU,-19.9842,82.89,77,86,8.99,1644156421
283,Takaka,NZ,-40.85,61.56,79,100,13.02,1644156481
284,Halifax,CA,44.6453,14.22,79,0,5.01,1644156501
285,Vila Franca do Campo,PT,37.7167,66.2,84,91,15.39,1644156601
286,Yoichi,JP,43.2039,24.62,76,100,12.82,1644156662
287,Hambantota,LK,6.1241,80.1,67,99,8.25,1644156722
288,General Roca,AR,-39.0333,73.8,26,35,6.04,1644156783
289,Manjacaze,MZ,-24.7117,83.75,52,5,15.93,1644156843
290,Kitob,UZ,39.0843,36.18,91,100,4.52,1644156904
291,Berdigestyakh,RU,62.0989,-24.47,100,99,3.4,1644156964
292,Açucena,BR,-19.0731,75.72,91,100,2.3,1644157085
293,Swan Hill,AU,-35.3378,70.45,30,4,7.25,1644157145
294,Olafsvik,IS,64.8945,29.03,68,63,14.65,1644157266
295,Kaihua,CN,23.3687,47.23,98,100,6.91,1644157326
296,Seymchan,RU,62.8833,-39.84,100,43,0.56,1644157386
297,Kumul,CN,42.8,29.3,29,96,14.58,1644157447
298,Pangnirtung,CA,66.1451,-34.74,89,96,4.88,1644157507
299,Lüderitz,NA,-26.6481,72.95,71,19,13.31,1644157322
300,Chingirlau,KZ,51.095,17.82,96,98,7.85,1644157688
301,Khatanga,RU,71.9667,-22.56,98,91,7.74,1644157748
302,El Alto,PE,-4.2714,73.06,63,67,11.86,1644157809
303,Sibu,MY,2.3,77.31,94,40,1.99,1644157869
304,Acapulco de Juárez,MX,16.8634,73.22,73,40,6.91,1644157813
305,Iracoubo,GF,5.4802,81.41,77,100,8.77,1644157989
306,General Pico,AR,-35.6566,71.1,29,3,8.88,1644158050
307,Talaya,RU,61.3833,-35.28,88,7,2.26,1644158110
308,Ostrovnoy,RU,68.0531,15.53,84,100,21.94,1644158170
309,Kailua,US,21.4022,73.74,84,23,1.99,1644158231
310,Cassilândia,BR,-19.1133,83.64,71,61,0.89,1644158291
311,Harbour Breton,CA,47.4833,24.01,59,16,20.85,1644158352
312,Muros,ES,42.7762,60.1,51,59,8.97,1644158412
313,Zhuanghe,CN,39.7008,21.69,61,54,6.2,1644158473
314,Mulchén,CL,-37.7167,73.26,20,0,4.68,1644158533
315,Yellandu,IN,17.6,73.11,42,23,1.95,1644158593
316,Fjerritslev,DK,57.0813,37.92,71,84,15.59,1644158654
317,Sobolevo,RU,54.4299,30.11,85,99,11.01,1644158714
318,Sémbé,CG,1.6481,98.53,12,62,4.25,1644158775
319,Mount Gambier,AU,-37.8333,67.91,60,40,12.66,1644158895
320,San Cristobal,VE,7.7669,66.38,70,90,3.69,1644158956
321,Dvinskoy,RU,62.1535,16.86,95,100,6.31,1644159016
322,Lodi,US,38.1302,47.71,83,0,1.05,1644159076
323,Petawawa,CA,45.9001,14.27,78,100,5.99,1644159137
324,Corinth,GR,37.9407,61.03,61,92,4.36,1644159197
325,Carnarvon,AU,-24.8667,77.07,65,1,24.16,1644159258
326,Patiya,BD,22.2931,67.95,52,33,0,1644159318
327,Saint-Pierre,RE,-21.3393,82.08,78,20,2.3,1644159378
328,Nogliki,RU,51.8333,3.99,85,100,15.68,1644159439
329,Laguna,US,38.421,48.34,90,0,2.08,1644159499
330,Caravelas,BR,-17.7125,86.92,55,0,10.04,1644159560
331,Pundaguitan,PH,6.3711,80.55,79,18,23.2,1644159621
332,Río Gallegos,AR,-51.6226,66.99,46,95,21.85,1644159682
333,Bastrop,US,32.7562,35.42,52,0,2.73,1644159743
334,Luanda,AO,-8.8368,81.18,66,72,16.75,1644159602
335,Rock Springs,US,41.5875,17.04,84,0,3.44,1644159923
336,Kruisfontein,ZA,-34.0033,83.88,48,78,19.35,1644159891
337,Kuril'sk,RU,45.2333,22.82,79,98,9.78,1644160044
338,Daigo,JP,36.7667,28.99,69,15,5.35,1644160104
339,Nísia Floresta,BR,-6.0911,90.41,47,37,10.98,1644160164
340,Deputatsky,RU,69.3,-32.51,99,83,4.25,1644160225
341,Baruun-Urt,MN,46.6806,0.41,89,12,6.67,1644160345
342,Kuala Terengganu,MY,5.3302,76.41,90,93,5.39,1644160406
343,Vardø,NO,70.3705,25.95,78,67,22.21,1644160466
344,Iqaluit,CA,63.7506,-34.87,67,20,2.3,1644160527
345,Umm Kaddadah,SD,13.6017,73.45,10,90,18.88,1644160587
346,Thurles,IE,52.6819,49.17,78,84,22.1,1644160648
347,Mariehamn,AX,60.0973,35.46,80,0,9.22,1644160708
348,Nānākuli,US,21.3906,73.35,78,0,4.61,1644160768
349,Vanimo,PG,-2.6741,78.75,85,83,4.9,1644160829
350,Ukiah,US,39.1502,48.36,73,0,0,1644160889
351,Oranjemund,NA,-28.55,72.82,60,71,15.77,1644161010
352,Cairns,AU,-16.9167,75.15,93,52,0,1644161057
353,Greystones,IE,53.1408,46.89,80,44,27.74,1644161130
354,Hirara,JP,24.8,64.06,66,89,16.91,1644161191
355,Broken Hill,AU,-31.95,73.11,35,40,12.66,1644161371
356,Emirdağ,TR,39.0197,29.86,84,5,3.4,1644161432
357,Ploemeur,FR,47.7333,54.63,90,100,20.71,1644161492
358,Baykit,RU,61.67,-7.96,100,93,2.71,1644161553
359,Zhigansk,RU,66.7697,-28.41,99,99,6.51,1644161613
360,Mandlā,IN,22.6,62.31,21,3,3.4,1644161673
361,Saint-Joseph,RE,-21.3667,80.98,77,100,12.5,1644161449
362,Kaduqli,SD,11.0167,78.85,12,57,11.16,1644161794
363,Varėna,LT,54.2167,32.65,98,100,12.66,1644161854
364,Nguruka,TZ,-5.1092,70.12,86,100,3.24,1644161915
365,Luga,RU,58.7372,31.96,96,100,12.01,1644161975
366,High Level,CA,58.5169,-0.29,78,100,3.44,1644162004
367,Plouzané,FR,48.3833,53.65,94,100,19.57,1644162096
368,Virginia Beach,US,36.8529,37.45,74,75,1.99,1644162068
369,Vangaindrano,MG,-23.35,77.61,94,100,15.41,1644162117
370,Shubarshi,KZ,48.5872,17.1,95,100,8.81,1644162276
371,Aykhal,RU,66,-17.59,98,100,5.08,1644162337
372,Kavieng,PG,-2.5744,81.55,78,100,3.78,1644162397
373,Shar,KZ,49.5886,1.58,75,0,3.83,1644162458
374,Pontianak,ID,-0.0333,78.78,94,75,3.44,1644162578
375,Griffith,US,41.5284,28.06,73,0,5.01,1644162396
376,Pavullo nel Frignano,IT,44.3315,51.46,80,30,35.68,1644162698
377,San Policarpo,PH,12.1791,78.98,80,16,16.49,1644162759
378,Tomatlán,MX,19.9333,78.8,38,4,1.48,1644162879
379,Sur,OM,22.5667,72.16,71,0,9.08,1644162940
380,Tarakan,ID,3.3,79.12,78,97,5.75,1644162897
381,Moctezuma,MX,29.8,56.68,28,1,2.24,1644163060
382,Chigorodó,CO,7.6664,85.73,56,8,5.97,1644163121
383,Inhambane,MZ,-23.865,82.38,78,40,11.5,1644163181
384,Mahébourg,MU,-20.4081,80.89,78,75,12.66,1644162946
385,Lukang,TW,24.0567,63.45,84,15,8.52,1644163301
386,Manggar,ID,-2.8833,78.98,85,92,8.41,1644163362
387,Waynesboro,US,38.0685,30.02,56,0,4.61,1644163422
388,Iporá,BR,-16.4419,83.25,64,91,5.41,1644163483
389,Fryanovo,RU,56.1333,19.72,98,96,3.85,1644163557
390,Kangaatsiaq,GL,68.3065,2.84,95,100,6.64,1644163663
391,Lancaster,US,40.2504,28.71,50,0,1.99,1644163724
392,Pierre,US,44.3683,33.06,66,100,5.99,1644163768
393,Nouadhibou,MR,20.931,66.09,76,5,16.24,1644163844
394,Åmot,NO,59.5714,21.22,91,25,4.43,1644163904
395,Springbok,ZA,-29.6643,83.89,29,83,11.63,1644163965
396,Helong,CN,42.5397,8.44,78,64,7.2,1644164085
397,Quarteira,PT,37.0695,64.17,59,20,11.5,1644164146
398,Nome,US,64.5011,-0.33,50,0,13.8,1644164206
399,Hearst,CA,49.6835,10.65,92,100,6.06,1644164267
400,Husavik,IS,66.0449,26.51,89,100,13.89,1644164327
401,Planeta Rica,CO,8.4147,83.82,60,14,5.48,1644164388
402,Szob,HU,47.8192,47.14,70,98,5.66,1644164448
403,Sørland,NO,67.667,33.87,63,100,17.87,1644164508
404,Kieta,PG,-6.2167,80.24,82,98,6.62,1644164569
405,Evensk,RU,61.95,5.45,59,0,12.06,1644164344
406,Lagos,NG,6.5833,89.92,50,2,9.57,1644164403
407,Hualmay,PE,-11.0964,73.81,71,97,8.9,1644164749
408,Inírida,CO,3.8653,86.56,65,80,2.33,1644164870
409,Santa Maria,BR,-29.6842,76.3,57,75,8.05,1644164930
410,Markova,UA,48.6758,38.79,66,100,20.04,1644164991
411,Kampot,KH,10.6167,77.05,67,98,3.65,1644165051
412,Buchanan,LR,5.8808,83.34,69,64,12.01,1644165111
413,San Rafael del Sur,NI,11.8485,83.37,38,25,14.67,1644165232
